Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,precio_venta_5%,precio_venta_10%
/BOTA DE SEGURIDAD ALTAS TEMPERATURAS MX#8 1/2  USZH85 URREA,USZH85,660731906769,URREA,1252.0,1815.0,Pieza,1905.75,1996.5000000000002
/BOTA DE SEGURIDAD ALTAS TEMPERATURAS MX#9  USZH9 URREA,USZH9,660731906776,URREA,1252.0,1815.0,Pieza,1905.75,1996.5000000000002
/BOTA DE SEGURIDAD TACTICA MX#10  USZT10 URREA,USZT10,660731903188,URREA,1128.0,1636.0,Pieza,1717.8000000000002,1799.6000000000001
/BOTA DE SEGURIDAD TACTICA MX#5  USZT5 URREA,USZT5,660731903102,URREA,1128.0,1636.0,Pieza,1717.8000000000002,1799.6000000000001
/BOTA DE SEGURIDAD TACTICA MX#6  USZT6 URREA,USZT6,660731903119,URREA,1128.0,1636.0,Pieza,1717.8000000000002,1799.6000000000001
/BOTA DE SEGURIDAD TACTICA MX#6 1/2  USZT65 URREA,USZT65,660731903126,URREA,1128.0,1636.0,Pieza,1717.8000000000002,1799.6000000000001
/BOTA DE SEGURIDAD TACTICA MX#7  USZT7 URREA,USZT7,660731903133,URREA,1128.0,1636.0,Pieza,1717.8000000000002,1799.6000000000001
/BOTA DE SEGURIDAD TACTICA MX#7 1/2  USZT75 URREA,USZT75,660731903140,URREA,1128.0,1636.0,Pieza,1717.8000000000002,1799.6000000000001
/BOTA DE SEGURIDAD TACTICA MX#8  USZT8 URREA,USZT8,660731903157,URREA,1128.0,1636.0,Pieza,1717.8000000000002,1799.6000000000001
/BOTA DE SEGURIDAD TACTICA MX#8 1/2  USZT85 URREA,USZT85,660731903164,URREA,1128.0,1636.0,Pieza,1717.8000000000002,1799.6000000000001
/BOTA DE SEGURIDAD TIPO SPORT # 10  USZD10 URREA,USZD10,660731699265,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTA DE SEGURIDAD TIPO SPORT # 5  USZD5 URREA,USZD5,660731699180,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTA DE SEGURIDAD TIPO SPORT # 6  USZD6 URREA,USZD6,660731699197,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTA DE SEGURIDAD TIPO SPORT # 6.5  USZD65 URREA,USZD65,660731699203,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTA DE SEGURIDAD TIPO SPORT # 7  USZD7 URREA,USZD7,660731699210,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTA DE SEGURIDAD TIPO SPORT # 7.5  USZD75 URREA,USZD75,660731699227,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTA DE SEGURIDAD TIPO SPORT # 8  USZD8 URREA,USZD8,660731699234,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTA DE SEGURIDAD TIPO SPORT # 8.5  USZD85 URREA,USZD85,660731699241,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTA DE SEGURIDAD TIPO SPORT # 9  USZD9 URREA,USZD9,660731699258,URREA,1272.0,1844.0,Pieza,1936.2,2028.4
/BOTADOR DE BRONCE 1/2X7 URREA,49920,660731611540,URREA,265.0,384.0,Pieza,403.20000000000005,422.40000000000003
/BOTADOR DE BRONCE 3/4X12 URREA,49923,660731697452,URREA,1054.0,1528.0,Pieza,1604.4,1680.8000000000002
/BOTADOR DE BRONCE 3/4X8 URREA,49922,660731611557,URREA,632.0,916.0,Pieza,961.8000000000001,1007.6000000000001
/BOTADOR RECTO 1/4 X 6 X 1/2  117152 SURTEK,117152,660731171525,SURTEK,31.0,45.0,Pieza,47.25,49.50000000000001
/BOTADOR RECTO 1/8 X 6 X 5/16  117148 SURTEK,117148,660731171488,SURTEK,20.0,29.0,Pieza,30.450000000000003,31.900000000000002
/BOTADOR RECTO 3/16 X 6 X 3/8  117150 SURTEK,117150,660731171501,SURTEK,22.0,32.0,Pieza,33.6,35.2
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 10  USZAV10 URREA,USZAV10,660731903096,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 5  USZAV5 URREA,USZAV5,660731903010,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 6  USZAV6 URREA,USZAV6,660731903027,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 6.5  USZAV65 URREA,USZAV65,660731903034,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 7  USZAV7 URREA,USZAV7,660731903041,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 7.5  USZAV75 URREA,USZAV75,660731903058,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 8  USZAV8 URREA,USZAV8,660731903065,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 8.5  USZAV85 URREA,USZAV85,660731903072,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD ALTA VISIBILIDAD 9  USZAV9 URREA,USZAV9,660731903089,URREA,1169.0,1695.0,Pieza,1779.75,1864.5000000000002
/BOTAS DE SEGURIDAD CASUALES CASQUILLO ACERO TALLA 10MX  USZA10 URREA,USZA10,660731916386,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD CASUALES CASQUILLO ACERO TALLA 5MX  USZA5 URREA,USZA5,660731916300,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD CASUALES CASQUILLO ACERO TALLA 6MX  USZA6 URREA,USZA6,660731916317,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD CASUALES CASQUILLO ACERO TALLA 7MX  USZA7 URREA,USZA7,660731916331,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD CASUALES CASQUILLO ACERO TALLA 8MX  USZA8 URREA,USZA8,660731916355,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD CASUALES CASQUILLO ACERO TALLA 9MX  USZA9 URREA,USZA9,660731916379,URREA,1137.0,1649.0,Pieza,1731.45,1813.9
/BOTAS DE SEGURIDAD DIELECTRICA # 10  USZS10 URREA,USZS10,660731684438,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 11  USZS11 URREA,USZS11,660731696936,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 12  USZS12 URREA,USZS12,660731696943,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 5  USZS5 URREA,USZS5,660731684353,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 6  USZS6 URREA,USZS6,660731684360,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 6 1/2  USZS65 URREA,USZS65,660731684377,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 7  USZS7 URREA,USZS7,660731684384,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 7 1/2  USZS75 URREA,USZS75,660731684391,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
/BOTAS DE SEGURIDAD DIELECTRICA # 8  USZS8 URREA,USZS8,660731684407,URREA,1044.0,1514.0,Pieza,1589.7,1665.4
